City,Severity_Level,Accident_Count,Severity_Ratio_Percent
AARONSBURG,2,7,77.78
AARONSBURG,3,2,22.22
ABBEVILLE,2,130,93.53
ABBEVILLE,4,9,6.47
ABBOTSFORD,2,3,33.33
ABBOTSFORD,4,6,66.67
ABBOTTSTOWN,2,20,80.0
ABBOTTSTOWN,4,5,20.0
ABERDEEN,1,1,0.17
ABERDEEN,2,499,86.93
ABERDEEN,3,19,3.31
ABERDEEN,4,55,9.58
ABERDEEN PROVING GROUND,2,1,100.0
ABERNATHY,3,1,100.0
ABILENE,2,6,60.0
ABILENE,3,1,10.0
ABILENE,4,3,30.0
ABINGDON,2,457,89.43
ABINGDON,3,9,1.76
ABINGDON,4,45,8.81
ABINGTON,2,492,100.0
ABRAMS,4,1,100.0
ABSAROKEE,2,13,100.0
ABSECON,1,1,0.77
ABSECON,2,108,83.08
ABSECON,3,9,6.92
ABSECON,4,12,9.23
ACAMPO,1,11,2.17
ACAMPO,2,487,96.25
ACAMPO,3,6,1.19
ACAMPO,4,2,0.4
ACCIDENT,2,10,71.43
ACCIDENT,3,1,7.14
ACCIDENT,4,3,21.43
ACCOKEEK,2,106,80.3
ACCOKEEK,3,4,3.03
ACCOKEEK,4,22,16.67
ACCOMAC,2,15,55.56
ACCOMAC,3,5,18.52
ACCOMAC,4,7,25.93
ACCORD,4,4,100.0
ACKERMAN,4,2,100.0
ACKWORTH,4,4,100.0
ACME,2,31,88.57
ACME,3,4,11.43
ACOMA,2,5,100.0
ACOSTA,2,2,100.0
ACRA,4,2,100.0
ACTON,2,1244,93.67
ACTON,3,63,4.74
ACTON,4,21,1.58
ACWORTH,1,1,0.67
ACWORTH,2,104,69.33
ACWORTH,3,25,16.67
ACWORTH,4,20,13.33
ADA,2,23,65.71
ADA,4,12,34.29
ADAH,4,3,100.0
ADAIR,2,42,91.3
ADAIR,3,1,2.17
ADAIR,4,3,6.52
ADAIR VILLAGE,2,5,100.0
ADAIRSVILLE,2,37,61.67
ADAIRSVILLE,3,5,8.33
ADAIRSVILLE,4,18,30.0
ADAIRVILLE,2,1,100.0
ADAMS,2,136,90.67
ADAMS,3,2,1.33
ADAMS,4,12,8.0
ADAMS CENTER,2,2,50.0
ADAMS CENTER,4,2,50.0
ADAMS RUN,2,5,100.0
ADAMSBURG,2,3,42.86
ADAMSBURG,4,4,57.14
ADAMSTOWN,2,27,45.76
ADAMSTOWN,3,2,3.39
ADAMSTOWN,4,30,50.85
ADAMSVILLE,1,1,16.67
ADAMSVILLE,2,4,66.67
ADAMSVILLE,3,1,16.67
ADDIS,2,11,100.0
ADDISON,2,159,47.46
ADDISON,3,142,42.39
ADDISON,4,34,10.15
ADDY,2,2,100.0
ADDYSTON,2,2,33.33
ADDYSTON,4,4,66.67
ADEL,2,223,91.77
ADEL,3,8,3.29
ADEL,4,12,4.94
ADELANTO,2,188,96.41
ADELANTO,3,2,1.03
ADELANTO,4,5,2.56
ADELL,4,1,100.0
ADELPHI,2,50,83.33
ADELPHI,3,2,3.33
ADELPHI,4,8,13.33
ADENA,4,1,100.0
ADIN,2,11,100.0
ADKINS,2,3,50.0
ADKINS,3,2,33.33
ADKINS,4,1,16.67
ADRIAN,2,184,93.4
ADRIAN,4,13,6.6
ADVANCE,1,5,4.76
ADVANCE,2,72,68.57
ADVANCE,3,8,7.62
ADVANCE,4,20,19.05
AFTON,2,209,80.38
AFTON,3,12,4.62
AFTON,4,39,15.0
AGATE,2,20,64.52
AGATE,3,2,6.45
AGATE,4,9,29.03
AGAWAM,1,2,33.33
AGAWAM,2,1,16.67
AGAWAM,3,3,50.0
AGENCY,2,1,33.33
AGENCY,4,2,66.67
AGOURA HILLS,2,656,92.66
AGOURA HILLS,3,38,5.37
AGOURA HILLS,4,14,1.98
AGUANGA,2,8,50.0
AGUANGA,3,2,12.5
AGUANGA,4,6,37.5
AGUILA,2,3,100.0
AGUILAR,2,6,40.0
AGUILAR,3,7,46.67
AGUILAR,4,2,13.33
AHOSKIE,1,1,5.26
AHOSKIE,2,11,57.89
AHOSKIE,4,7,36.84
AHWAHNEE,2,78,97.5
AHWAHNEE,4,2,2.5
AIKEN,1,7,0.69
AIKEN,2,998,98.62
AIKEN,3,2,0.2
AIKEN,4,5,0.49
AILEY,2,1,16.67
AILEY,4,5,83.33
AINSWORTH,2,9,81.82
AINSWORTH,4,2,18.18
AIRMONT,2,3,42.86
AIRMONT,4,4,57.14
AIRVILLE,2,6,33.33
AIRVILLE,3,10,55.56
AIRVILLE,4,2,11.11
AIRWAY HEIGHTS,2,3,75.0
AIRWAY HEIGHTS,4,1,25.0
AITKIN,2,208,95.41
AITKIN,3,10,4.59
AJO,2,54,85.71
AJO,4,9,14.29
AKELEY,2,102,100.0
AKRON,1,26,2.43
AKRON,2,806,75.33
AKRON,3,103,9.63
AKRON,4,135,12.62
ALABASTER,2,179,95.21
ALABASTER,3,4,2.13
ALABASTER,4,5,2.66
ALACHUA,2,258,90.53
ALACHUA,3,9,3.16
ALACHUA,4,18,6.32
ALAMEDA,2,18,90.0
ALAMEDA,4,2,10.0
ALAMO,1,8,0.76
ALAMO,2,990,94.11
ALAMO,3,42,3.99
ALAMO,4,12,1.14
ALAMOGORDO,2,1,16.67
