temperature,Severity_1_Count,Severity_2_Count,Severity_3_Count,Severity_4_Count
-67,0,1,1,0
-62,0,1,0,0
-47,0,2,0,0
-37,0,1,0,1
-32,0,57,26,0
-27,0,588,48,27
-22,0,2760,111,95
-17,0,6809,505,346
-12,0,14132,1085,951
-7,39,33393,2639,2964
-2,95,98374,6561,8767
2,376,177370,11603,13202
7,1634,269874,16075,15079
12,4115,390173,20924,18434
17,4380,426931,25238,20347
22,4724,456763,28477,22535
27,5281,383783,25146,16966
32,3205,177878,11627,6688
37,1503,27983,1726,889
42,385,3840,142,156
47,0,173,16,9
52,0,1,1,0
57,0,1,0,0
62,0,1,0,0
67,0,1,0,0
77,0,2,0,0
92,0,3,0,0
