Day_Of_Week,Severity_Level,Accident_Count,Daily_Proportion_Percent
0,false,1,181,0.39
0,false,2,40798,87.83
0,false,3,1991,4.29
0,false,4,3482,7.5
0,true,1,93,0.42
0,true,2,19746,88.36
0,true,3,981,4.39
0,true,4,1527,6.83
1,false,1,130,0.33
1,false,2,35603,90.88
1,false,3,1337,3.41
1,false,4,2106,5.38
1,true,1,79,0.39
1,true,2,18151,89.89
1,true,3,853,4.22
1,true,4,1110,5.5
2,false,1,136,0.39
2,false,2,31523,90.04
2,false,3,1368,3.91
2,false,4,1984,5.67
2,true,1,76,0.37
2,true,2,18112,88.65
2,true,3,920,4.5
2,true,4,1324,6.48
3,false,1,122,0.38
3,false,2,28261,87.45
3,false,3,1759,5.44
3,false,4,2175,6.73
3,true,1,79,0.48
3,true,2,14214,86.99
3,true,3,835,5.11
3,true,4,1211,7.41
4,false,1,193,0.52
4,false,2,33009,88.09
4,false,3,1826,4.87
4,false,4,2444,6.52
4,true,1,86,0.6
4,true,2,12234,85.37
4,true,3,762,5.32
4,true,4,1249,8.72
5,false,1,461,0.7
5,false,2,57775,88.28
5,false,3,3507,5.36
5,false,4,3700,5.65
5,true,1,80,0.54
5,true,2,12870,86.61
5,true,3,769,5.18
5,true,4,1140,7.67
6,false,1,813,0.85
6,false,2,84247,88.43
6,false,3,5717,6.0
6,false,4,4496,4.72
6,true,1,77,0.48
6,true,2,13984,88.03
6,true,3,754,4.75
6,true,4,1071,6.74
7,false,1,1094,0.92
7,false,2,105254,88.51
7,false,3,7402,6.22
7,false,4,5172,4.35
7,true,1,106,0.65
7,true,2,14264,87.68
7,true,3,837,5.15
7,true,4,1061,6.52
8,false,1,1165,1.02
8,false,2,100143,87.67
8,false,3,7571,6.63
8,false,4,5351,4.68
8,true,1,119,0.71
8,true,2,14742,88.56
8,true,3,791,4.75
8,true,4,994,5.97
9,false,1,1020,1.13
9,false,2,77874,86.54
9,false,3,6072,6.75
9,false,4,5019,5.58
9,true,1,109,0.58
9,true,2,17056,90.76
9,true,3,764,4.07
9,true,4,863,4.59
10,false,1,865,1.07
10,false,2,70555,87.25
10,false,3,4874,6.03
10,false,4,4569,5.65
10,true,1,178,0.77
10,true,2,21081,91.41
10,true,3,848,3.68
10,true,4,955,4.14
11,false,1,1048,1.2
11,false,2,76988,88.33
11,false,3,4726,5.42
11,false,4,4396,5.04
11,true,1,193,0.74
11,true,2,23918,91.6
11,true,3,1028,3.94
11,true,4,973,3.73
12,false,1,1136,1.0
12,false,2,101947,89.73
12,false,3,5488,4.83
12,false,4,5039,4.44
12,true,1,236,0.78
12,true,2,27581,91.62
12,true,3,1232,4.09
12,true,4,1055,3.5
13,false,1,1377,1.03
13,false,2,121504,90.68
13,false,3,5811,4.34
13,false,4,5294,3.95
13,true,1,317,0.98
13,true,2,29689,91.39
13,true,3,1357,4.18
13,true,4,1123,3.46
14,false,1,1476,0.94
14,false,2,143266,91.06
14,false,3,7089,4.51
14,false,4,5499,3.5
14,true,1,293,0.86
14,true,2,31130,91.16
14,true,3,1512,4.43
14,true,4,1212,3.55
15,false,1,1897,1.05
15,false,2,162991,90.02
15,false,3,10250,5.66
15,false,4,5917,3.27
15,true,1,300,0.9
15,true,2,30229,91.03
15,true,3,1379,4.15
15,true,4,1298,3.91
16,false,1,2374,1.27
16,false,2,165736,88.93
16,false,3,12233,6.56
16,false,4,6026,3.23
16,true,1,299,0.93
16,true,2,29021,90.65
16,true,3,1389,4.34
16,true,4,1306,4.08
17,false,1,2346,1.25
17,false,2,167043,88.82
17,false,3,12601,6.7
17,false,4,6074,3.23
17,true,1,294,0.91
17,true,2,29397,91.04
17,true,3,1325,4.1
17,true,4,1275,3.95
18,false,1,1868,1.35
18,false,2,120671,87.27
18,false,3,10306,7.45
18,false,4,5423,3.92
18,true,1,273,0.89
18,true,2,27676,90.11
18,true,3,1260,4.1
18,true,4,1503,4.89
19,false,1,972,1.09
19,false,2,78153,87.26
19,false,3,6010,6.71
19,false,4,4426,4.94
19,true,1,226,0.83
19,true,2,24754,90.51
19,true,3,1090,3.99
19,true,4,1280,4.68
20,false,1,443,0.64
20,false,2,61076,87.95
20,false,3,3969,5.72
20,false,4,3953,5.69
20,true,1,195,0.77
20,true,2,22888,90.68
20,true,3,974,3.86
20,true,4,1184,4.69
21,false,1,375,0.6
21,false,2,55540,89.01
21,false,3,2996,4.8
21,false,4,3485,5.59
21,true,1,173,0.7
21,true,2,22251,90.15
21,true,3,918,3.72
21,true,4,1339,5.43
22,false,1,295,0.5
22,false,2,51752,88.54
22,false,3,3183,5.45
22,false,4,3218,5.51
22,true,1,93,0.41
22,true,2,20420,89.8
22,true,3,858,3.77
22,true,4,1369,6.02
23,false,1,222,0.41
23,false,2,47527,88.8
23,false,3,2617,4.89
23,false,4,3155,5.89
23,true,1,70,0.34
23,true,2,18321,88.41
23,true,3,965,4.66
23,true,4,1366,6.59
